,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adamsville,33.520680000000034,-86.81175999999996,Birmingham Museum Of Art,33.5223112839542,-86.81040927908465,Art Museum
1,Adamsville,33.520680000000034,-86.81175999999996,Zoës Kitchen,33.51725341513421,-86.80973908697956,Mediterranean Restaurant
2,Adamsville,33.520680000000034,-86.81175999999996,Edgars Bakery -Financial Center,33.518434195553986,-86.8083925969493,Bakery
3,Adamsville,33.520680000000034,-86.81175999999996,BJCC Arena,33.52392481966669,-86.81306284402812,Music Venue
4,Adamsville,33.520680000000034,-86.81175999999996,Kelly Ingram Park,33.51639720482671,-86.81372880935669,Park
5,Adamsville,33.520680000000034,-86.81175999999996,BJCC Concert Hall,33.525285423016534,-86.81217373786556,Concert Hall
6,Adamsville,33.520680000000034,-86.81175999999996,Birmingham Civil Rights Institute,33.5160825504964,-86.81456382435196,History Museum
7,Adamsville,33.520680000000034,-86.81175999999996,Gus's Hot Dogs,33.5169231587761,-86.80827383847067,Hot Dog Joint
8,Adamsville,33.520680000000034,-86.81175999999996,Linn Park,33.52030795158189,-86.81011593749793,Park
9,Adamsville,33.520680000000034,-86.81175999999996,"Redmont Hotel Birmingham, Curio Collection by Hilton",33.51873398168604,-86.80638484196152,Hotel
10,Adamsville,33.520680000000034,-86.81175999999996,McWane Science Center,33.51529748379671,-86.80855912288476,Science Museum
11,Adamsville,33.520680000000034,-86.81175999999996,Redmont Roof Top,33.51870244102634,-86.80649030643309,Lounge
12,Adamsville,33.520680000000034,-86.81175999999996,Urban Cookhouse,33.51665,-86.810485,New American Restaurant
13,Adamsville,33.520680000000034,-86.81175999999996,Birmingham Children's Theatre,33.52463567866703,-86.81280066228729,Theater
14,Adamsville,33.520680000000034,-86.81175999999996,YMCA Downtown Branch,33.517853079366255,-86.80572321500246,Gym
15,Adamsville,33.520680000000034,-86.81175999999996,Marilyn's Deli & Dogs,33.51940375018656,-86.81283791406067,Diner
16,Adamsville,33.520680000000034,-86.81175999999996,The Lyric Theatre,33.51521027953575,-86.80976283524102,Theater
17,Adamsville,33.520680000000034,-86.81175999999996,The Alabama Theatre,33.51484959273256,-86.8093963041912,Theater
